# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = timeVaryingSEIR_model
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = outputs/output_10.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_start,beta_fract,k,beta_end
# Adaptation terminated
# Step size = 0.0312383
# Diagonal elements of inverse mass matrix:
# 1.06086e-05, 0.000109624, 0.0217577
6.10876e+06,0.999169,0.0312383,4,23,0,-6.10876e+06,0.11545,0.707469,0.147373,0.0816769
6.10876e+06,0.954307,0.0312383,2,3,0,-6.10876e+06,0.115467,0.707455,0.147275,0.0816878
6.10876e+06,0.85411,0.0312383,3,15,0,-6.10876e+06,0.115485,0.707228,0.14597,0.0816741
6.10876e+06,0.97421,0.0312383,4,15,0,-6.10876e+06,0.115455,0.707145,0.149867,0.0816433
6.10876e+06,0.98851,0.0312383,3,15,0,-6.10876e+06,0.115473,0.706924,0.148078,0.0816309
6.10876e+06,0.996238,0.0312383,4,31,0,-6.10876e+06,0.11545,0.70769,0.148738,0.0817028
6.10876e+06,1,0.0312383,2,3,0,-6.10876e+06,0.115445,0.707689,0.148621,0.0816993
6.10876e+06,0.990992,0.0312383,2,3,0,-6.10876e+06,0.115448,0.707722,0.148541,0.081705
6.10876e+06,0.940507,0.0312383,3,11,0,-6.10876e+06,0.115447,0.707815,0.151837,0.0817151
6.10876e+06,0.952375,0.0312383,2,7,0,-6.10876e+06,0.115433,0.707785,0.15235,0.0817017
6.10876e+06,0.922093,0.0312383,3,11,0,-6.10876e+06,0.115417,0.708067,0.149362,0.081723
6.10876e+06,0.998848,0.0312383,4,31,0,-6.10876e+06,0.11545,0.707379,0.151056,0.0816671
6.10876e+06,0.80211,0.0312383,3,11,0,-6.10876e+06,0.115432,0.707576,0.149554,0.081677
6.10876e+06,0.955816,0.0312383,4,27,0,-6.10876e+06,0.115493,0.706988,0.145576,0.081652
6.10876e+06,0.991081,0.0312383,4,25,0,-6.10876e+06,0.115447,0.707304,0.14994,0.0816559
6.10876e+06,0.992699,0.0312383,4,21,0,-6.10876e+06,0.115455,0.707508,0.151382,0.0816855
6.10876e+06,0.998868,0.0312383,4,31,0,-6.10876e+06,0.115465,0.707245,0.14669,0.081662
6.10876e+06,0.817434,0.0312383,4,15,0,-6.10876e+06,0.115493,0.706791,0.150408,0.0816294
6.10876e+06,0.878367,0.0312383,2,3,0,-6.10876e+06,0.115489,0.706835,0.150232,0.0816319
6.10876e+06,0.871672,0.0312383,2,3,0,-6.10876e+06,0.115476,0.706862,0.150664,0.0816254
6.10876e+06,0.981176,0.0312383,4,15,0,-6.10876e+06,0.115472,0.707347,0.146181,0.0816785
6.10876e+06,0.910187,0.0312383,4,31,0,-6.10876e+06,0.115557,0.705502,0.141932,0.081526
6.10876e+06,0.868957,0.0312383,4,29,0,-6.10876e+06,0.115505,0.706432,0.14363,0.0815961
6.10876e+06,0.900434,0.0312383,3,11,0,-6.10876e+06,0.115497,0.706328,0.147189,0.081579
6.10876e+06,0.993515,0.0312383,4,15,0,-6.10876e+06,0.115498,0.706746,0.141968,0.0816279
6.10876e+06,0.867724,0.0312383,2,3,0,-6.10876e+06,0.115486,0.706767,0.14178,0.081622
6.10876e+06,0.939557,0.0312383,3,15,0,-6.10876e+06,0.115484,0.706635,0.145774,0.0816049
6.10876e+06,0.941014,0.0312383,2,3,0,-6.10876e+06,0.115501,0.706637,0.146492,0.0816174
6.10876e+06,0.989826,0.0312383,4,15,0,-6.10876e+06,0.115476,0.707079,0.143596,0.0816505
6.10876e+06,0.988192,0.0312383,3,7,0,-6.10876e+06,0.11547,0.707218,0.144348,0.0816623
6.10876e+06,0.999231,0.0312383,4,31,0,-6.10876e+06,0.115442,0.707746,0.153686,0.0817032
6.10876e+06,0.813003,0.0312383,4,19,0,-6.10876e+06,0.115466,0.707124,0.147097,0.0816485
6.10876e+06,0.864563,0.0312383,3,11,0,-6.10876e+06,0.11548,0.707109,0.149872,0.0816568
6.10876e+06,0.928344,0.0312383,3,11,0,-6.10876e+06,0.115464,0.70709,0.149065,0.0816433
6.10876e+06,0.958557,0.0312383,4,23,0,-6.10876e+06,0.115496,0.706821,0.147993,0.0816351
6.10876e+06,0.960092,0.0312383,4,15,0,-6.10876e+06,0.115476,0.707339,0.147404,0.0816808
6.10876e+06,0.915335,0.0312383,4,27,0,-6.10876e+06,0.115482,0.706539,0.146261,0.0815928
6.10876e+06,0.934934,0.0312383,3,13,0,-6.10876e+06,0.115527,0.706309,0.145895,0.0815978
6.10876e+06,0.933232,0.0312383,2,7,0,-6.10876e+06,0.115482,0.706372,0.146018,0.0815733
6.10876e+06,0.802586,0.0312383,2,3,0,-6.10876e+06,0.115527,0.706299,0.14442,0.0815965
6.10876e+06,0.966053,0.0312383,3,15,0,-6.10876e+06,0.115509,0.706811,0.143535,0.0816429
6.10876e+06,0.913076,0.0312383,5,31,0,-6.10876e+06,0.115487,0.706863,0.146844,0.0816336
6.10876e+06,0.603847,0.0312383,2,3,0,-6.10876e+06,0.115502,0.706952,0.147705,0.0816542
6.10876e+06,0.997871,0.0312383,4,23,0,-6.10876e+06,0.115461,0.707107,0.147691,0.0816436
6.10876e+06,0.935564,0.0312383,2,7,0,-6.10876e+06,0.115471,0.707057,0.14869,0.0816443
6.10876e+06,0.711346,0.0312383,3,11,0,-6.10876e+06,0.115461,0.707273,0.148687,0.0816622
6.10876e+06,0.925286,0.0312383,2,7,0,-6.10876e+06,0.115471,0.707381,0.147597,0.0816822
6.10876e+06,0.964512,0.0312383,4,15,0,-6.10876e+06,0.11546,0.707526,0.14737,0.0816907
6.10876e+06,0.975862,0.0312383,4,15,0,-6.10876e+06,0.115454,0.707688,0.146866,0.0817054
6.10876e+06,0.997267,0.0312383,3,7,0,-6.10876e+06,0.115469,0.707334,0.148534,0.0816751
6.10876e+06,0.789486,0.0312383,2,3,0,-6.10876e+06,0.115484,0.707315,0.148624,0.0816837
6.10876e+06,0.965691,0.0312383,3,15,0,-6.10876e+06,0.115435,0.707483,0.15053,0.0816681
6.10876e+06,0.999843,0.0312383,3,11,0,-6.10876e+06,0.115465,0.707346,0.150142,0.0816739
6.10876e+06,0.958517,0.0312383,2,3,0,-6.10876e+06,0.115455,0.707355,0.150591,0.0816678
6.10876e+06,0.476282,0.0312383,1,3,0,-6.10876e+06,0.115455,0.707355,0.150591,0.0816678
6.10876e+06,0.998648,0.0312383,4,23,0,-6.10876e+06,0.115478,0.707044,0.146384,0.0816478
6.10876e+06,0.992577,0.0312383,3,15,0,-6.10876e+06,0.115474,0.707016,0.146123,0.081642
6.10876e+06,0.808595,0.0312383,3,15,0,-6.10876e+06,0.115524,0.706463,0.14382,0.0816138
6.10876e+06,0.950997,0.0312383,3,15,0,-6.10876e+06,0.115496,0.706865,0.147193,0.08164
6.10876e+06,0.96023,0.0312383,4,23,0,-6.10876e+06,0.115468,0.707529,0.149999,0.0816971
6.10876e+06,0.91371,0.0312383,3,15,0,-6.10876e+06,0.115462,0.707462,0.146394,0.0816847
6.10876e+06,0.999896,0.0312383,4,19,0,-6.10876e+06,0.115453,0.707533,0.150312,0.0816869
6.10876e+06,0.986402,0.0312383,3,15,0,-6.10876e+06,0.115454,0.70746,0.147626,0.0816792
6.10876e+06,0.591422,0.0312383,2,3,0,-6.10876e+06,0.11545,0.707521,0.146952,0.0816833
6.10876e+06,0.99686,0.0312383,6,63,0,-6.10876e+06,0.115463,0.707314,0.146995,0.0816684
6.10876e+06,0.840746,0.0312383,3,7,0,-6.10876e+06,0.115437,0.707614,0.146395,0.0816846
6.10876e+06,0.998898,0.0312383,4,31,0,-6.10876e+06,0.115456,0.707797,0.149306,0.0817195
6.10876e+06,0.985759,0.0312383,4,31,0,-6.10876e+06,0.115474,0.706842,0.150835,0.0816217
6.10876e+06,0.999385,0.0312383,3,15,0,-6.10876e+06,0.115477,0.706789,0.150545,0.0816176
6.10876e+06,0.970706,0.0312383,2,3,0,-6.10876e+06,0.115481,0.706783,0.150629,0.0816198
6.10876e+06,0.986776,0.0312383,2,3,0,-6.10876e+06,0.115482,0.706797,0.151574,0.0816221
6.10876e+06,0.97642,0.0312383,2,7,0,-6.10876e+06,0.115473,0.707002,0.148977,0.0816394
6.10876e+06,0.905572,0.0312383,3,15,0,-6.10876e+06,0.115471,0.707289,0.146778,0.0816713
6.10876e+06,0.715881,0.0312383,4,27,0,-6.10876e+06,0.115524,0.706562,0.14537,0.0816249
6.10876e+06,0.860573,0.0312383,3,11,0,-6.10876e+06,0.115533,0.706185,0.143138,0.081588
6.10876e+06,0.969222,0.0312383,3,7,0,-6.10876e+06,0.115508,0.706603,0.141674,0.0816186
6.10876e+06,0.99928,0.0312383,3,11,0,-6.10876e+06,0.115504,0.706317,0.148409,0.0815828
6.10876e+06,0.997912,0.0312383,4,31,0,-6.10876e+06,0.115523,0.706109,0.144106,0.0815717
6.10876e+06,0.976561,0.0312383,3,11,0,-6.10876e+06,0.115507,0.706287,0.143395,0.0815813
6.10876e+06,0.98708,0.0312383,3,11,0,-6.10876e+06,0.115502,0.706368,0.146933,0.0815872
6.10876e+06,0.994653,0.0312383,4,31,0,-6.10876e+06,0.115481,0.707054,0.144903,0.0816516
6.10876e+06,0.964905,0.0312383,4,31,0,-6.10876e+06,0.115475,0.706967,0.144751,0.0816371
6.10876e+06,0.924775,0.0312383,4,31,0,-6.10876e+06,0.115535,0.706021,0.143488,0.0815701
6.10876e+06,0.997672,0.0312383,2,7,0,-6.10876e+06,0.115527,0.705855,0.142966,0.0815452
6.10876e+06,0.983311,0.0312383,3,7,0,-6.10876e+06,0.115542,0.70578,0.143305,0.0815475
6.10876e+06,0.967612,0.0312383,4,15,0,-6.10876e+06,0.115479,0.706722,0.149342,0.0816113
6.10876e+06,0.998369,0.0312383,4,15,0,-6.10876e+06,0.115468,0.707326,0.147124,0.0816735
6.10876e+06,0.989323,0.0312383,4,31,0,-6.10876e+06,0.115476,0.70713,0.147427,0.0816564
6.10876e+06,0.772084,0.0312383,4,29,0,-6.10876e+06,0.115467,0.706808,0.144324,0.0816129
6.10876e+06,0.993811,0.0312383,2,7,0,-6.10876e+06,0.115498,0.706879,0.142928,0.0816434
6.10876e+06,0.992925,0.0312383,3,7,0,-6.10876e+06,0.115486,0.70686,0.148118,0.0816323
6.10876e+06,0.962996,0.0312383,2,7,0,-6.10876e+06,0.115477,0.707012,0.145856,0.0816434
6.10876e+06,0.991001,0.0312383,4,15,0,-6.10876e+06,0.115491,0.706716,0.148721,0.0816194
6.10876e+06,0.999629,0.0312383,3,15,0,-6.10876e+06,0.115506,0.706458,0.144602,0.0815998
6.10876e+06,0.775128,0.0312383,4,27,0,-6.10876e+06,0.115432,0.707896,0.150944,0.0817142
6.10876e+06,0.773142,0.0312383,3,15,0,-6.10876e+06,0.11546,0.707552,0.148532,0.0816937
6.10876e+06,0.75398,0.0312383,2,3,0,-6.10876e+06,0.115462,0.707632,0.148112,0.0817043
6.10876e+06,0.997838,0.0312383,4,31,0,-6.10876e+06,0.115473,0.707089,0.145324,0.0816497
6.10876e+06,0.884515,0.0312383,4,15,0,-6.10876e+06,0.115475,0.707277,0.145232,0.0816726
