Inference for Stan model: timeVaryingSEIR_model
18 chains: each with iter=(20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000); warmup=(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0); thin=(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1); 360000 iterations saved.

Warmup took (2375, 2139, 2753, 15640, 2815, 2060, 6292, 1864, 7205, 1734, 880, 2193, 2871, 1997, 2793, 2662, 4499, 2569) seconds, 18 hours total
Sampling took (32062, 38138, 44111, 12903, 41246, 44352, 9802, 37699, 8303, 16518, 35514, 45312, 34436, 40079, 42169, 32898, 11107, 44930) seconds, 159 hours total

                       Mean        MCSE      StdDev           5%          50%          95%       N_Eff     N_Eff/s       R_hat

lp__             6.1088e+06  5.7104e-04  2.6132e-01   6.1088e+06   6.1088e+06   6.1088e+06      209411  3.6637e-01  1.0001e+00
accept_stat__    9.3223e-01  3.5390e-03  9.6114e-02   7.3127e-01   9.7216e-01   1.0000e+00  7.3761e+02  1.2905e-03  1.0130e+00
stepsize__       2.8917e-02  1.6081e-03  4.8246e-03   1.6240e-02   3.0219e-02   3.5140e-02  9.0014e+00  1.5748e-05  2.1393e+12
treedepth__      4.0517e+00  2.7106e-01  1.5417e+00   2.0000e+00   4.0000e+00   6.0000e+00  3.2353e+01  5.6603e-05  1.1753e+00
n_leapfrog__     3.7551e+01  5.6717e+00  3.4598e+01   3.0000e+00   2.7000e+01   1.1500e+02  3.7211e+01  6.5102e-05  1.1474e+00
divergent__      0.0000e+00         nan  0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00         nan         nan         nan
energy__        -6.1088e+06  2.1903e-03  9.8840e-01  -6.1088e+06  -6.1088e+06  -6.1088e+06  2.0364e+05  3.5628e-01  1.0001e+00

beta_start       1.1547e-01  1.1706e-07  3.1731e-05   1.1542e-01   1.1547e-01   1.1553e-01       73477  1.2855e-01  1.0002e+00
beta_fract       7.0706e-01  2.4128e-06  6.3295e-04   7.0601e-01   7.0706e-01   7.0809e-01       68817  1.2040e-01  1.0002e+00
k                1.4741e-01  1.2310e-05  3.1693e-03   1.4230e-01   1.4736e-01   1.5274e-01       66286  1.1597e-01  1.0003e+00
beta_end         8.1647e-02  1.9745e-07  5.2862e-05   8.1560e-02   8.1647e-02   8.1734e-02       71678  1.2540e-01  1.0002e+00

Samples were drawn using hmc with nuts.
For each parameter, N_Eff is a crude measure of effective sample size,
and R_hat is the potential scale reduction factor on split chains (at 
convergence, R_hat=1).
